setting,value
dataset_root,/playpen-ssd/smerrill/deception2/DatasetMain
model_dirname,DeepSeek-R1-Distill-Qwen-7B
envs,"AdvisorAudit, BS, CarSales, Gridworld, Interview"
num_prefixes,100
max_sentences,20
prefix_strategy,midpoint
n_generations,100
temperatures,"0.5, 0.7, 0.9"
top_ps,"0.5, 0.7, 0.9"
repetition_penalties,"1.1, 1.2"
similarity_model_name,sentence-transformers/all-mpnet-base-v2
similarity_device,cpu
similarity_batch_size,128
similarity_max_length,128
selection_only,False
analysis_only,False
output_root,/playpen-ssd/smerrill/deception2/Notebooks/datasetmain_localization_decoding_diversity_outputs/qwen7b_decoding_diversity_mpne
