bundle_key,env_name,env_display,model_bundle_name,model_display,model_id,eligible_examples,eligible_deceptive_examples,eligible_truthful_examples,selected_examples,selected_deceptive_examples,selected_truthful_examples,deceptive_target,truthful_target,bundle_examples_relpath,bundle_sentences_relpath,bundle_selected_examples_relpath,bundle_config_relpath
advisor_audit__DeepSeek-R1-Distill-Llama-8B,advisor_audit,AdvisorAudit,DeepSeek-R1-Distill-Llama-8B,Llama-8B,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,103,54,49,10,5,5,5,5,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/advisor_audit__DeepSeek-R1-Distill-Llama-8B/examples.jsonl,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/advisor_audit__DeepSeek-R1-Distill-Llama-8B/sentences.jsonl,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/advisor_audit__DeepSeek-R1-Distill-Llama-8B/selected_examples.csv,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/advisor_audit__DeepSeek-R1-Distill-Llama-8B/bundle_config.json
advisor_audit__DeepSeek-R1-Distill-Qwen-14B,advisor_audit,AdvisorAudit,DeepSeek-R1-Distill-Qwen-14B,Qwen-14B,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,107,45,62,10,5,5,5,5,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/advisor_audit__DeepSeek-R1-Distill-Qwen-14B/examples.jsonl,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/advisor_audit__DeepSeek-R1-Distill-Qwen-14B/sentences.jsonl,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/advisor_audit__DeepSeek-R1-Distill-Qwen-14B/selected_examples.csv,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/advisor_audit__DeepSeek-R1-Distill-Qwen-14B/bundle_config.json
advisor_audit__DeepSeek-R1-Distill-Qwen-7B,advisor_audit,AdvisorAudit,DeepSeek-R1-Distill-Qwen-7B,Qwen-7B,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,118,51,67,10,5,5,5,5,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/advisor_audit__DeepSeek-R1-Distill-Qwen-7B/examples.jsonl,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/advisor_audit__DeepSeek-R1-Distill-Qwen-7B/sentences.jsonl,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/advisor_audit__DeepSeek-R1-Distill-Qwen-7B/selected_examples.csv,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/advisor_audit__DeepSeek-R1-Distill-Qwen-7B/bundle_config.json
advisor_audit__gpt-oss-20b,advisor_audit,AdvisorAudit,gpt-oss-20b,GPT-OSS-20B,openai/gpt-oss-20b,115,54,61,10,5,5,5,5,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/advisor_audit__gpt-oss-20b/examples.jsonl,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/advisor_audit__gpt-oss-20b/sentences.jsonl,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/advisor_audit__gpt-oss-20b/selected_examples.csv,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/advisor_audit__gpt-oss-20b/bundle_config.json
bs__DeepSeek-R1-Distill-Llama-8B,bs,BS,DeepSeek-R1-Distill-Llama-8B,Llama-8B,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,33,12,21,10,5,5,5,5,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/bs__DeepSeek-R1-Distill-Llama-8B/examples.jsonl,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/bs__DeepSeek-R1-Distill-Llama-8B/sentences.jsonl,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/bs__DeepSeek-R1-Distill-Llama-8B/selected_examples.csv,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/bs__DeepSeek-R1-Distill-Llama-8B/bundle_config.json
bs__DeepSeek-R1-Distill-Qwen-14B,bs,BS,DeepSeek-R1-Distill-Qwen-14B,Qwen-14B,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,73,30,43,10,5,5,5,5,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/bs__DeepSeek-R1-Distill-Qwen-14B/examples.jsonl,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/bs__DeepSeek-R1-Distill-Qwen-14B/sentences.jsonl,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/bs__DeepSeek-R1-Distill-Qwen-14B/selected_examples.csv,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/bs__DeepSeek-R1-Distill-Qwen-14B/bundle_config.json
bs__DeepSeek-R1-Distill-Qwen-7B,bs,BS,DeepSeek-R1-Distill-Qwen-7B,Qwen-7B,deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,111,47,64,10,5,5,5,5,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/bs__DeepSeek-R1-Distill-Qwen-7B/examples.jsonl,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/bs__DeepSeek-R1-Distill-Qwen-7B/sentences.jsonl,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/bs__DeepSeek-R1-Distill-Qwen-7B/selected_examples.csv,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/bs__DeepSeek-R1-Distill-Qwen-7B/bundle_config.json
bs__gpt-oss-20b,bs,BS,gpt-oss-20b,GPT-OSS-20B,openai/gpt-oss-20b,96,42,54,10,5,5,5,5,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/bs__gpt-oss-20b/examples.jsonl,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/bs__gpt-oss-20b/sentences.jsonl,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/bs__gpt-oss-20b/selected_examples.csv,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/bs__gpt-oss-20b/bundle_config.json
car_sales__DeepSeek-R1-Distill-Llama-8B,car_sales,CarSales,DeepSeek-R1-Distill-Llama-8B,Llama-8B,deepseek-ai/DeepSeek-R1-Distill-Llama-8B,128,81,47,10,5,5,5,5,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/car_sales__DeepSeek-R1-Distill-Llama-8B/examples.jsonl,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/car_sales__DeepSeek-R1-Distill-Llama-8B/sentences.jsonl,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/car_sales__DeepSeek-R1-Distill-Llama-8B/selected_examples.csv,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/car_sales__DeepSeek-R1-Distill-Llama-8B/bundle_config.json
car_sales__DeepSeek-R1-Distill-Qwen-14B,car_sales,CarSales,DeepSeek-R1-Distill-Qwen-14B,Qwen-14B,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,127,73,54,10,5,5,5,5,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/car_sales__DeepSeek-R1-Distill-Qwen-14B/examples.jsonl,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/car_sales__DeepSeek-R1-Distill-Qwen-14B/sentences.jsonl,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/car_sales__DeepSeek-R1-Distill-Qwen-14B/selected_examples.csv,rebuttal/results/localization_fulltrace_vs_adaptive_rebuttal_v1/bundles/car_sales__DeepSeek-R1-Distill-Qwen-14B/bundle_config.json
