model_id,environment,n_rows,n_action_correct,n_commitment_correct,n_all_correct,mean_spike_delta,all_correct_rate
gptoss,advisor_audit,13,0,0,0,0.5610675039246468,0.0
gptoss,bs,43,0,0,0,0.5850878025628856,0.0
gptoss,car_sales,30,0,0,0,0.5744632573826772,0.0
gptoss,gridworld,2,0,0,0,0.52,0.0
gptoss,interview,1,0,0,0,0.7591836734693878,0.0
llama8b,advisor_audit,1,0,0,0,0.5000000000000001,0.0
llama8b,car_sales,789,0,0,0,0.6336532194963446,0.0
llama8b,gridworld,146,0,0,0,0.5802317697523177,0.0
llama8b,interview,2,0,0,0,0.5487759033635322,0.0
qwen14b,advisor_audit,14,0,0,0,0.61,0.0
qwen14b,bs,1,0,0,0,0.5800000000000001,0.0
qwen14b,car_sales,32,0,0,0,0.564579081632653,0.0
qwen14b,gridworld,5,0,0,0,0.5479999999999999,0.0
qwen14b,interview,1,0,0,0,0.5,0.0
qwen7b,advisor_audit,29,0,0,0,0.5480776448510438,0.0
qwen7b,car_sales,143,0,0,0,0.5921983211593601,0.0
qwen7b,gridworld,194,120,118,100,0.6039222516059466,0.5154639175257731
qwen7b,interview,120,0,0,0,0.5917828282828282,0.0
