model_id,environment,n_tasks,min_sentences,median_sentences,max_sentences,mean_spike_delta,n_rows_with_gold_action
gptoss,advisor_audit,13,7,10.0,12,0.5610675039246468,13
gptoss,bs,43,5,8.0,12,0.5850878025628856,43
gptoss,car_sales,30,5,9.0,12,0.5744632573826772,30
gptoss,gridworld,2,8,9.5,11,0.52,2
gptoss,interview,1,10,10.0,10,0.7591836734693878,1
llama8b,advisor_audit,1,11,11.0,11,0.5000000000000001,1
llama8b,car_sales,794,5,9.0,12,0.6344738431391147,789
llama8b,gridworld,146,5,8.0,12,0.5802317697523177,146
llama8b,interview,2,11,11.5,12,0.5487759033635322,2
qwen14b,advisor_audit,14,9,11.0,12,0.61,14
qwen14b,bs,1,12,12.0,12,0.5800000000000001,1
qwen14b,car_sales,32,6,10.0,12,0.564579081632653,32
qwen14b,gridworld,5,8,11.0,12,0.5479999999999999,5
qwen14b,interview,1,12,12.0,12,0.5,1
qwen7b,advisor_audit,29,6,11.0,12,0.5480776448510438,29
qwen7b,car_sales,143,5,8.0,12,0.5921983211593601,143
qwen7b,gridworld,194,5,10.0,12,0.6039222516059466,194
qwen7b,interview,120,5,9.0,12,0.5917828282828282,120
