bundle_key,env_name,env_display,model_bundle_name,model_display,model_id,example_id,deceptive,label_name,sentence_count,has_messages,has_prompt,raw_text_char_count,source_dataset_dir_relpath,source_examples_relpath,source_sentences_relpath,source_localization_relpath,source_localization_exists,bucket_idx
bs__DeepSeek-R1-Distill-Qwen-14B,bs,BS,DeepSeek-R1-Distill-Qwen-14B,Qwen-14B,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,2026-02-10/gpu_6/game_140/turn_8/state_1395/sample_0,True,deceptive,20,False,True,1596,DatasetMainCompressed/bs/DeepSeek-R1-Distill-Qwen-14B,,,DatasetMainCompressed/bs/DeepSeek-R1-Distill-Qwen-14B/localization/sentence_localization_2026-02-10_gpu_6_game_140_turn_8_state_1395_sample_0.json.gz,True,0
bs__DeepSeek-R1-Distill-Qwen-14B,bs,BS,DeepSeek-R1-Distill-Qwen-14B,Qwen-14B,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,2026-02-10/gpu_3/game_154/turn_10/state_1627/sample_0,True,deceptive,28,False,True,2486,DatasetMainCompressed/bs/DeepSeek-R1-Distill-Qwen-14B,,,DatasetMainCompressed/bs/DeepSeek-R1-Distill-Qwen-14B/localization/sentence_localization_2026-02-10_gpu_3_game_154_turn_10_state_1627_sample_0.json.gz,True,0
bs__DeepSeek-R1-Distill-Qwen-14B,bs,BS,DeepSeek-R1-Distill-Qwen-14B,Qwen-14B,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,2026-02-10/gpu_4/game_125/turn_0/state_1186/sample_0,True,deceptive,39,False,True,3308,DatasetMainCompressed/bs/DeepSeek-R1-Distill-Qwen-14B,,,DatasetMainCompressed/bs/DeepSeek-R1-Distill-Qwen-14B/localization/sentence_localization_2026-02-10_gpu_4_game_125_turn_0_state_1186_sample_0.json.gz,True,1
bs__DeepSeek-R1-Distill-Qwen-14B,bs,BS,DeepSeek-R1-Distill-Qwen-14B,Qwen-14B,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,2026-02-10/gpu_2/game_176/turn_15/state_1932/sample_0,True,deceptive,44,False,True,3801,DatasetMainCompressed/bs/DeepSeek-R1-Distill-Qwen-14B,,,DatasetMainCompressed/bs/DeepSeek-R1-Distill-Qwen-14B/localization/sentence_localization_2026-02-10_gpu_2_game_176_turn_15_state_1932_sample_0.json.gz,True,1
bs__DeepSeek-R1-Distill-Qwen-14B,bs,BS,DeepSeek-R1-Distill-Qwen-14B,Qwen-14B,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,2026-02-10/gpu_3/game_137/turn_12/state_1454/sample_0,True,deceptive,49,False,True,3727,DatasetMainCompressed/bs/DeepSeek-R1-Distill-Qwen-14B,,,DatasetMainCompressed/bs/DeepSeek-R1-Distill-Qwen-14B/localization/sentence_localization_2026-02-10_gpu_3_game_137_turn_12_state_1454_sample_0.json.gz,True,2
bs__DeepSeek-R1-Distill-Qwen-14B,bs,BS,DeepSeek-R1-Distill-Qwen-14B,Qwen-14B,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,2026-02-10/gpu_2/game_114/turn_7/state_1296/sample_0,False,truthful,33,False,True,2632,DatasetMainCompressed/bs/DeepSeek-R1-Distill-Qwen-14B,,,DatasetMainCompressed/bs/DeepSeek-R1-Distill-Qwen-14B/localization/sentence_localization_2026-02-10_gpu_2_game_114_turn_7_state_1296_sample_0.json.gz,True,0
bs__DeepSeek-R1-Distill-Qwen-14B,bs,BS,DeepSeek-R1-Distill-Qwen-14B,Qwen-14B,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,2026-02-10/gpu_6/game_4/turn_7/state_41/sample_0,False,truthful,33,False,True,2898,DatasetMainCompressed/bs/DeepSeek-R1-Distill-Qwen-14B,,,DatasetMainCompressed/bs/DeepSeek-R1-Distill-Qwen-14B/localization/sentence_localization_2026-02-10_gpu_6_game_4_turn_7_state_41_sample_0.json.gz,True,0
bs__DeepSeek-R1-Distill-Qwen-14B,bs,BS,DeepSeek-R1-Distill-Qwen-14B,Qwen-14B,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,2026-02-10/gpu_5/game_44/turn_7/state_576/sample_0,False,truthful,37,False,True,3509,DatasetMainCompressed/bs/DeepSeek-R1-Distill-Qwen-14B,,,DatasetMainCompressed/bs/DeepSeek-R1-Distill-Qwen-14B/localization/sentence_localization_2026-02-10_gpu_5_game_44_turn_7_state_576_sample_0.json.gz,True,1
bs__DeepSeek-R1-Distill-Qwen-14B,bs,BS,DeepSeek-R1-Distill-Qwen-14B,Qwen-14B,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,2026-02-10/gpu_5/game_119/turn_7/state_1278/sample_0,False,truthful,40,False,True,3494,DatasetMainCompressed/bs/DeepSeek-R1-Distill-Qwen-14B,,,DatasetMainCompressed/bs/DeepSeek-R1-Distill-Qwen-14B/localization/sentence_localization_2026-02-10_gpu_5_game_119_turn_7_state_1278_sample_0.json.gz,True,1
bs__DeepSeek-R1-Distill-Qwen-14B,bs,BS,DeepSeek-R1-Distill-Qwen-14B,Qwen-14B,deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,2026-02-10/gpu_6/game_96/turn_5/state_950/sample_0,False,truthful,43,False,True,3473,DatasetMainCompressed/bs/DeepSeek-R1-Distill-Qwen-14B,,,DatasetMainCompressed/bs/DeepSeek-R1-Distill-Qwen-14B/localization/sentence_localization_2026-02-10_gpu_6_game_96_turn_5_state_950_sample_0.json.gz,True,2
