temperature,top_p,repetition_penalty,combo_key
0.5,0.5,1.1,temp_0.5__top_p_0.5__rep_1.1
0.5,0.5,1.2,temp_0.5__top_p_0.5__rep_1.2
0.5,0.7,1.1,temp_0.5__top_p_0.7__rep_1.1
0.5,0.7,1.2,temp_0.5__top_p_0.7__rep_1.2
0.5,0.9,1.1,temp_0.5__top_p_0.9__rep_1.1
0.5,0.9,1.2,temp_0.5__top_p_0.9__rep_1.2
0.7,0.5,1.1,temp_0.7__top_p_0.5__rep_1.1
0.7,0.5,1.2,temp_0.7__top_p_0.5__rep_1.2
0.7,0.7,1.1,temp_0.7__top_p_0.7__rep_1.1
0.7,0.7,1.2,temp_0.7__top_p_0.7__rep_1.2
0.7,0.9,1.1,temp_0.7__top_p_0.9__rep_1.1
0.7,0.9,1.2,temp_0.7__top_p_0.9__rep_1.2
0.9,0.5,1.1,temp_0.9__top_p_0.5__rep_1.1
0.9,0.5,1.2,temp_0.9__top_p_0.5__rep_1.2
0.9,0.7,1.1,temp_0.9__top_p_0.7__rep_1.1
0.9,0.7,1.2,temp_0.9__top_p_0.7__rep_1.2
0.9,0.9,1.1,temp_0.9__top_p_0.9__rep_1.1
0.9,0.9,1.2,temp_0.9__top_p_0.9__rep_1.2
