example_key,example_id,env_name,n_samples,repeat_idx,reference_peak_sentence_idx,subset_peak_sentence_idx,peak_exact,peak_within_one,reference_jump_sentence_idx,reference_jump_magnitude,subset_jump_sentence_idx,jump_exact,jump_within_one
AdvisorAudit::2026-03-05/gpu_5/state_185/sample_49,2026-03-05/gpu_5/state_185/sample_49,AdvisorAudit,100,0,8,8,1.0,1.0,3,0.2902405560016632,3,1.0,1.0
AdvisorAudit::2026-03-05/gpu_5/state_185/sample_49,2026-03-05/gpu_5/state_185/sample_49,AdvisorAudit,10,0,8,7,0.0,1.0,3,0.2902405560016632,7,0.0,0.0
AdvisorAudit::2026-03-05/gpu_5/state_185/sample_49,2026-03-05/gpu_5/state_185/sample_49,AdvisorAudit,10,1,8,4,0.0,0.0,3,0.2902405560016632,3,1.0,1.0
AdvisorAudit::2026-03-05/gpu_5/state_185/sample_49,2026-03-05/gpu_5/state_185/sample_49,AdvisorAudit,10,2,8,7,0.0,1.0,3,0.2902405560016632,4,0.0,1.0
AdvisorAudit::2026-03-05/gpu_5/state_185/sample_49,2026-03-05/gpu_5/state_185/sample_49,AdvisorAudit,10,3,8,7,0.0,1.0,3,0.2902405560016632,3,1.0,1.0
AdvisorAudit::2026-03-05/gpu_5/state_185/sample_49,2026-03-05/gpu_5/state_185/sample_49,AdvisorAudit,10,4,8,7,0.0,1.0,3,0.2902405560016632,7,0.0,0.0
AdvisorAudit::2026-03-05/gpu_5/state_185/sample_49,2026-03-05/gpu_5/state_185/sample_49,AdvisorAudit,10,5,8,7,0.0,1.0,3,0.2902405560016632,4,0.0,1.0
AdvisorAudit::2026-03-05/gpu_5/state_185/sample_49,2026-03-05/gpu_5/state_185/sample_49,AdvisorAudit,10,6,8,7,0.0,1.0,3,0.2902405560016632,7,0.0,0.0
AdvisorAudit::2026-03-05/gpu_5/state_185/sample_49,2026-03-05/gpu_5/state_185/sample_49,AdvisorAudit,10,7,8,7,0.0,1.0,3,0.2902405560016632,4,0.0,1.0
AdvisorAudit::2026-03-05/gpu_5/state_185/sample_49,2026-03-05/gpu_5/state_185/sample_49,AdvisorAudit,10,8,8,7,0.0,1.0,3,0.2902405560016632,3,1.0,1.0
AdvisorAudit::2026-03-05/gpu_5/state_185/sample_49,2026-03-05/gpu_5/state_185/sample_49,AdvisorAudit,10,9,8,5,0.0,0.0,3,0.2902405560016632,7,0.0,0.0
AdvisorAudit::2026-03-05/gpu_5/state_185/sample_49,2026-03-05/gpu_5/state_185/sample_49,AdvisorAudit,10,10,8,7,0.0,1.0,3,0.2902405560016632,7,0.0,0.0
AdvisorAudit::2026-03-05/gpu_5/state_185/sample_49,2026-03-05/gpu_5/state_185/sample_49,AdvisorAudit,10,11,8,7,0.0,1.0,3,0.2902405560016632,7,0.0,0.0
AdvisorAudit::2026-03-05/gpu_5/state_185/sample_49,2026-03-05/gpu_5/state_185/sample_49,AdvisorAudit,10,12,8,7,0.0,1.0,3,0.2902405560016632,4,0.0,1.0
AdvisorAudit::2026-03-05/gpu_5/state_185/sample_49,2026-03-05/gpu_5/state_185/sample_49,AdvisorAudit,10,13,8,7,0.0,1.0,3,0.2902405560016632,3,1.0,1.0
AdvisorAudit::2026-03-05/gpu_5/state_185/sample_49,2026-03-05/gpu_5/state_185/sample_49,AdvisorAudit,10,14,8,7,0.0,1.0,3,0.2902405560016632,4,0.0,1.0
AdvisorAudit::2026-03-05/gpu_5/state_185/sample_49,2026-03-05/gpu_5/state_185/sample_49,AdvisorAudit,10,15,8,4,0.0,0.0,3,0.2902405560016632,4,0.0,1.0
AdvisorAudit::2026-03-05/gpu_5/state_185/sample_49,2026-03-05/gpu_5/state_185/sample_49,AdvisorAudit,10,16,8,7,0.0,1.0,3,0.2902405560016632,3,1.0,1.0
AdvisorAudit::2026-03-05/gpu_5/state_185/sample_49,2026-03-05/gpu_5/state_185/sample_49,AdvisorAudit,10,17,8,7,0.0,1.0,3,0.2902405560016632,4,0.0,1.0
AdvisorAudit::2026-03-05/gpu_5/state_185/sample_49,2026-03-05/gpu_5/state_185/sample_49,AdvisorAudit,10,18,8,7,0.0,1.0,3,0.2902405560016632,1,0.0,0.0
AdvisorAudit::2026-03-05/gpu_5/state_185/sample_49,2026-03-05/gpu_5/state_185/sample_49,AdvisorAudit,10,19,8,7,0.0,1.0,3,0.2902405560016632,3,1.0,1.0
AdvisorAudit::2026-03-05/gpu_5/state_185/sample_49,2026-03-05/gpu_5/state_185/sample_49,AdvisorAudit,10,20,8,7,0.0,1.0,3,0.2902405560016632,7,0.0,0.0
