bundle_key,env_name,env_display,model_bundle_name,model_display,expected_examples,completed_adaptive_examples,completed_full_examples,completed_paired_examples
advisor_audit__DeepSeek-R1-Distill-Llama-8B,advisor_audit,AdvisorAudit,DeepSeek-R1-Distill-Llama-8B,Llama-8B,10,0,0,0
advisor_audit__DeepSeek-R1-Distill-Qwen-14B,advisor_audit,AdvisorAudit,DeepSeek-R1-Distill-Qwen-14B,Qwen-14B,10,0,0,0
advisor_audit__DeepSeek-R1-Distill-Qwen-7B,advisor_audit,AdvisorAudit,DeepSeek-R1-Distill-Qwen-7B,Qwen-7B,10,0,0,0
advisor_audit__gpt-oss-20b,advisor_audit,AdvisorAudit,gpt-oss-20b,GPT-OSS-20B,10,0,0,0
bs__DeepSeek-R1-Distill-Llama-8B,bs,BS,DeepSeek-R1-Distill-Llama-8B,Llama-8B,10,0,0,0
bs__DeepSeek-R1-Distill-Qwen-14B,bs,BS,DeepSeek-R1-Distill-Qwen-14B,Qwen-14B,10,0,0,0
bs__DeepSeek-R1-Distill-Qwen-7B,bs,BS,DeepSeek-R1-Distill-Qwen-7B,Qwen-7B,10,0,0,0
bs__gpt-oss-20b,bs,BS,gpt-oss-20b,GPT-OSS-20B,10,0,0,0
car_sales__DeepSeek-R1-Distill-Llama-8B,car_sales,CarSales,DeepSeek-R1-Distill-Llama-8B,Llama-8B,10,0,0,0
car_sales__DeepSeek-R1-Distill-Qwen-14B,car_sales,CarSales,DeepSeek-R1-Distill-Qwen-14B,Qwen-14B,10,0,0,0
car_sales__DeepSeek-R1-Distill-Qwen-7B,car_sales,CarSales,DeepSeek-R1-Distill-Qwen-7B,Qwen-7B,10,0,0,0
car_sales__gpt-oss-20b,car_sales,CarSales,gpt-oss-20b,GPT-OSS-20B,10,0,0,0
gridworld__DeepSeek-R1-Distill-Llama-8B,gridworld,Gridworld,DeepSeek-R1-Distill-Llama-8B,Llama-8B,10,0,0,0
gridworld__DeepSeek-R1-Distill-Qwen-14B,gridworld,Gridworld,DeepSeek-R1-Distill-Qwen-14B,Qwen-14B,10,0,0,0
gridworld__DeepSeek-R1-Distill-Qwen-7B,gridworld,Gridworld,DeepSeek-R1-Distill-Qwen-7B,Qwen-7B,10,0,0,0
gridworld__gpt-oss-20b,gridworld,Gridworld,gpt-oss-20b,GPT-OSS-20B,10,0,0,0
interview__DeepSeek-R1-Distill-Llama-8B,interview,Interview,DeepSeek-R1-Distill-Llama-8B,Llama-8B,10,0,0,0
interview__DeepSeek-R1-Distill-Qwen-14B,interview,Interview,DeepSeek-R1-Distill-Qwen-14B,Qwen-14B,10,0,0,0
interview__DeepSeek-R1-Distill-Qwen-7B,interview,Interview,DeepSeek-R1-Distill-Qwen-7B,Qwen-7B,10,0,0,0
interview__gpt-oss-20b,interview,Interview,gpt-oss-20b,GPT-OSS-20B,10,0,0,0
