model_id,environment,n_spike_rows,n_correct,mean_spike_delta,accuracy
gptoss,advisor_audit,58,0,0.5712174524982407,0.0
gptoss,bs,214,0,0.5860483676505038,0.0
gptoss,car_sales,60,0,0.5867657089402163,0.0
gptoss,gridworld,62,0,0.5866622778143515,0.0
gptoss,interview,42,0,0.5799698215396035,0.0
llama8b,advisor_audit,90,0,0.5716666666666667,0.0
llama8b,bs,135,0,0.588674287899292,0.0
llama8b,car_sales,1797,0,0.6386434799328385,0.0
llama8b,gridworld,258,0,0.5824387283689609,0.0
llama8b,interview,34,0,0.5915991245059722,0.0
qwen14b,advisor_audit,146,0,0.5950684931506849,0.0
qwen14b,bs,34,0,0.5711764705882353,0.0
qwen14b,car_sales,104,0,0.5696804683411826,0.0
qwen14b,gridworld,84,0,0.6038095238095238,0.0
qwen14b,interview,9,0,0.5577777777777777,0.0
qwen7b,advisor_audit,345,0,0.5873243251476139,0.0
qwen7b,bs,111,67,0.5829848356824041,0.6036036036036037
qwen7b,car_sales,258,0,0.6139994390991069,0.0
qwen7b,gridworld,579,33,0.605060678115248,0.05699481865284974
qwen7b,interview,478,0,0.6208959895475392,0.0
